object_class,space,cluster_id,cluster_size,high_overlap_flag,top_radicals,prototype_labels,prototype_definitions_sample,mean_cosine_to_centroid,max_cosine_to_centroid
characters,structural,14,60,false,"音(100%), 心(35%), 儿(23%), 金(7%), 艸(5%), 勹(5%), 口(5%), 欠(5%)",䪯 | 䪭 | 憶 | 意 | 愔 | 䪰 | 竸 | 竟 | 镱 | 鐿,"sound, whisper, to groan; to moan | a kind of musical instrument | remember, reflect upon; memory | thought, idea, opinion; think | comfortable, contented, peaceful",0.685513,0.908882
characters,structural,15,575,false,"糸(100%), 田(8%), 口(8%), 丿(7%), 木(7%), 一(7%), 艸(6%), 网(5%)",萦 | 纂 | 綮 | 绸 | 綅 | 经 | 綂 | 絻 | 絲 | 纟,"entangle, entwine, coil | edit, compile; topknot, chignon | embroidered banner | silk cloth, satin damask | thread",0.642969,0.974129
characters,structural,16,204,false,"八(100%), 厶(64%), 夂(58%), 土(19%), 丿(13%), 凵(13%), 羽(12%), 木(10%)",夋 | 埈 | 梭 | 公 | 悛 | 荾 | 畯 | 浚 | 俊 | 峻,"to dawdle; the emperor Yao's father | high, steep, towering; stern | weaver's shuttle; go to and fro | fair, equitable; public; duke | repent, reform",0.689787,0.936606
characters,structural,17,225,false,"足(59%), 二(42%), 冂(13%), 厶(12%), 月(8%), 犬(6%), 厂(5%), 辵(4%)",趶 | 䠁 | 踲 | 䠪 | 躖 | 䠘 | 踀 | 䟽 | 踂 | 蹇,"character: 趶. | (same as 躋) to go up; to rise; to ascend | character: 踲. | footprints; track, to trample, to walk far and fast | character: 躖.",0.489129,0.932319
characters,structural,18,139,false,"丿(97%), 大(88%), 冂(58%), 口(45%), 丨(14%), 米(12%), 山(5%), 非(4%)",嘺 | 喬 | 噢 | 㕭 | 呑 | 嶠 | 㠐 | 夭 | 镺 | 憍,"(Cant.) coincidental | tall, lofty; proud, stately | moan; interjection for pain, sad | (same as 咬) to bark as a dog, obscene expressions, an interjection; implying surprise | swallow; absorb",0.74881,0.946883
characters,structural,19,241,false,"頁(100%), 口(10%), 匕(9%), 木(7%), 艸(7%), 水(6%), 彡(6%), 止(5%)",頴 | 熲 | 顲 | 頁 | 页 | 頯 | 類 | 颈 | 颐 | 頧,"rice tassel; sharp point; clever | bright | character: 顲. | page, sheet, leaf; Kangxi radical 181 | page, sheet, leaf; rad. no. 181",0.664589,0.972249
characters,structural,20,295,false,"大(53%), 禾(50%), 厶(6%), 心(6%), 刀(5%), 囗(5%), 十(5%), 厂(5%)",秧 | 秵 | 稬 | 䄺 | 秗 | 䅰 | 䅟 | 䅖 | 夨 | 奰,"rice seedlings, young rice plants | character: 秵. | glutinous, sticky | (same as U+7A3A 稚) young and tender; small; delicate; immature, (same as U+7A0A 稊) darnels; tares, grass | character: 秗.",0.491064,0.964714
characters,structural,21,405,false,"口(100%), 一(100%), 戈(25%), 田(14%), 囗(13%), 亠(13%), 日(12%), 丿(10%)",䏸 | 啞 | 兽 | 唔 | 哑 | 哂 | 号 | 㗼 | 吏 | 吜,"fish, eyes of the fishes | dumb, mute; become hoarse | beast, animal; bestial | hold in mouth; bite; (Cant.) not, negation | dumb, mute; become hoarse",0.756022,0.961395
characters,structural,22,329,false,"鳥(100%), 口(7%), 一(7%), 冖(5%), 田(4%), 大(4%), 隹(4%), 日(3%)",莺 | 䳒 | 䳖 | 鷽 | 鶾 | 鶱 | 鶯 | 鶞 | 鴇 | 鴭,"oriole, green finch; Sylvia species (various) | a kind of bird, a hawk; sparrow hawk | flying birds, a kind of bird | oriental bullfinch, weaver bird; Pyrrhula species (various) | character: 鶾.",0.664996,0.983484
characters,structural,23,324,false,"竹(100%), 木(8%), 人(8%), 卩(5%), 一(5%), 丶(4%), 手(4%), 工(4%)",篦 | 䉇 | 算 | 䇫 | 範 | 䈳 | 簱 | 簳 | 簸 | 簆,"fine-toothed comb; comb hair | character: 䉇. | count, calculate, figure; plan | bamboo-splints; laths, to plait, (same as 篦) a comb; especially a fine-toothed one) | pattern, model, rule, law",0.642039,0.979742
