,sem_cluster_0,sem_cluster_1,sem_cluster_2,sem_cluster_3,sem_cluster_4,sem_cluster_5,sem_cluster_6,sem_cluster_7,sem_cluster_8,sem_cluster_9,sem_cluster_10,sem_cluster_11,sem_cluster_12,sem_cluster_13,sem_cluster_14,sem_cluster_15,sem_cluster_16,sem_cluster_17,sem_cluster_18,sem_cluster_19,sem_cluster_20,sem_cluster_21,sem_cluster_22,sem_cluster_23,sem_cluster_24,sem_cluster_25,sem_cluster_26,sem_cluster_27,sem_cluster_28,sem_cluster_29,sem_cluster_30,sem_cluster_31,sem_cluster_32,sem_cluster_33,sem_cluster_34,sem_cluster_35,sem_cluster_36,sem_cluster_37,sem_cluster_38,sem_cluster_39,sem_cluster_40,sem_cluster_41,sem_cluster_42,sem_cluster_43,sem_cluster_44,sem_cluster_45,sem_cluster_46,sem_cluster_47,sem_cluster_48,sem_cluster_49,sem_cluster_50,sem_cluster_51,sem_cluster_52,sem_cluster_53,sem_cluster_54,sem_cluster_55,sem_cluster_56,sem_cluster_57,sem_cluster_58,sem_cluster_59
struct_cluster_49,89,4,6,3,4,8,3,3,0,1,4,0,3,2,5,2,1,1,1,5,8,2,1,1,0,10,3,8,11,8,0,5,1,15,0,0,2,0,2,3,1,4,4,9,4,5,3,14,0,1,6,5,3,11,3,0,1,4,6,4
struct_cluster_50,58,0,2,0,2,0,2,1,0,2,0,0,3,8,1,0,0,0,7,8,4,0,0,1,0,2,0,0,5,2,0,17,2,3,0,108,3,0,0,0,0,0,10,1,0,4,0,4,0,1,1,0,0,5,0,3,1,3,0,4
struct_cluster_51,68,1,2,1,4,6,0,7,3,3,2,2,1,10,1,7,5,2,5,10,7,2,2,3,5,0,4,0,9,2,2,5,7,6,3,0,7,1,0,0,0,1,2,5,13,9,4,12,8,2,2,5,6,6,2,4,6,7,5,1
struct_cluster_52,63,4,5,2,0,5,6,5,5,7,2,4,5,2,3,0,1,3,8,5,14,0,3,4,1,3,0,0,14,0,1,7,2,9,6,2,4,0,1,0,3,2,4,6,0,5,3,7,0,4,1,5,3,3,3,1,4,5,1,4
struct_cluster_53,78,6,4,5,0,9,1,2,1,12,2,6,8,4,1,1,1,1,5,5,8,2,1,4,1,5,2,22,1,2,2,5,0,1,5,1,6,1,1,0,1,0,4,2,4,5,12,10,2,2,3,4,7,7,3,1,3,7,9,1
struct_cluster_54,22,0,0,1,1,10,1,1,3,0,3,1,0,2,2,1,0,2,0,0,4,1,0,0,0,0,1,0,2,16,0,0,4,3,1,0,0,15,0,0,0,1,0,3,1,1,2,3,1,0,1,0,3,2,1,0,0,3,0,0
struct_cluster_55,108,0,0,1,0,0,2,0,2,1,1,0,1,4,1,0,2,1,1,1,0,1,0,0,0,165,0,0,3,0,0,0,2,1,4,2,0,1,16,0,0,0,0,2,2,2,0,6,1,0,0,1,0,29,0,0,0,0,7,0
struct_cluster_56,210,9,7,3,8,25,8,17,6,16,4,5,21,12,20,11,16,9,19,14,27,13,11,5,4,11,10,1,18,10,17,18,15,34,15,6,10,2,3,10,3,2,23,24,5,19,11,41,10,3,28,16,16,28,13,4,23,17,7,9
struct_cluster_57,36,1,1,3,5,1,0,1,0,2,2,2,0,2,3,1,0,1,6,1,4,2,0,0,2,3,3,7,0,8,0,1,2,8,1,3,1,2,0,2,0,3,1,2,4,2,3,1,1,2,4,6,1,3,8,1,3,2,3,1
struct_cluster_58,109,2,7,4,11,3,6,5,8,4,3,1,5,2,5,5,4,0,8,6,15,2,2,7,6,8,9,3,9,5,4,5,4,22,5,2,10,3,2,4,2,6,6,9,1,10,1,17,4,8,6,11,15,8,5,2,0,3,5,3
struct_cluster_59,77,6,5,3,0,3,0,3,7,0,3,1,4,4,2,3,3,3,0,3,4,1,5,6,0,2,2,4,3,3,2,4,4,3,5,1,2,2,3,7,1,4,1,5,4,4,6,5,5,2,6,3,3,8,5,0,1,4,3,0
