object_class,k,is_primary_k,n_objects,ari,ami,nmi,v_measure,homogeneity,completeness,fowlkes_mallows
radicals,3,true,214,-0.0007199248776786994,-0.0006239783178714424,0.017189103450506626,0.017189103450506622,0.16629460372587504,0.009062949283915902,0.5734078685458537
radicals,3,true,214,-0.0007199248776786994,-0.0006239783178714424,0.017189103450506626,0.017189103450506622,0.16629460372587504,0.009062949283915902,0.5734078685458537
radicals,4,false,214,0.002356870488177673,0.0019199665459873252,0.028318700205183213,0.02831870020518321,0.23019287288361973,0.015087387532833276,0.504665392659718
radicals,5,false,214,0.0009335077475165406,0.00010335047335004336,0.03740805474697947,0.03740805474697947,0.1393613259733804,0.021603484298580965,0.5075571232697837
radicals,6,false,214,0.016354257971016656,0.012626191054409765,0.0549155514576264,0.054915551457626416,0.30263935067874287,0.030197528374356367,0.5263654121397912
radicals,7,false,214,0.004962432075027658,0.006061820740221649,0.057172217122762,0.057172217122762006,0.31695257452555914,0.03141988328602104,0.42473544966167814
radicals,8,false,214,-0.0021934571047808773,-0.006373166618143333,0.05523219186583445,0.055232191865834446,0.15057382134009814,0.03381862409493824,0.3247839501916495
radicals,9,false,214,-0.0059825851693730584,-0.009709449302983059,0.05863688562925042,0.058636885629250415,0.2847825879982788,0.03268318540289137,0.34880303893605047
radicals,10,false,214,0.005883074712158948,0.006429851767753397,0.08125386501538849,0.0812538650153885,0.3565563003157922,0.04585135230898135,0.36966317506525137
radicals,11,false,214,-0.0037494708150378466,-0.006559108827689571,0.07744755642243395,0.07744755642243395,0.3326617171506955,0.04382530067667957,0.32088699918234176
radicals,12,false,214,0.007459349755526467,0.01593464511143151,0.11177636877843602,0.111776368778436,0.30662400578610555,0.0683454756407105,0.29459363222324747
radicals,13,false,214,0.00016088209414114577,0.0002883555555113873,0.09946029488928332,0.09946029488928332,0.39574571688796445,0.05687747774785477,0.27981927675547735
radicals,14,false,214,-0.004148586967408449,-0.008804944467873093,0.09877428823795201,0.09877428823795201,0.37101921925484826,0.05697062286001301,0.2735417831658985
radicals,15,false,214,0.003338077841175937,0.006746285704620753,0.12024278474202328,0.12024278474202328,0.43534473237494886,0.0697545399800895,0.2653425110870614
characters,60,true,27408,0.006248260492643399,0.09606101961710381,0.11297361982123823,0.11297361982123823,0.11052179101642869,0.11553669997406474,0.05837538615375183
characters,5,false,27408,-0.002648715864322448,0.0026272568317665065,0.0028331913619199125,0.002833191361919913,0.003228917175809762,0.0025238734619812036,0.28299389929821944
characters,10,false,27408,-0.0026049825674623,0.021128594243921803,0.021865826571458975,0.021865826571458972,0.02401613039891014,0.020068937849050502,0.18615439612946696
characters,15,false,27408,-0.0006259081581079695,0.022843373671739768,0.024341057765179815,0.024341057765179815,0.02568599681268166,0.023129955078420448,0.14204751016118403
characters,20,false,27408,0.0018847633517314218,0.04595633900899906,0.04836598621999891,0.0483659862199989,0.049386873710357604,0.04738644995187843,0.11032065825225942
characters,30,false,27408,-0.0027920779888131364,0.039425940973389466,0.0444992569104171,0.0444992569104171,0.04505396291491737,0.04395804390006548,0.08662590768751159
characters,40,false,27408,0.001984096702395833,0.056166510930999586,0.06452997363549952,0.06452997363549952,0.06400355859514398,0.06506511978060218,0.0715083047306576
characters,60,true,27408,0.006248260492643399,0.09606101961710381,0.11297361982123823,0.11297361982123823,0.11052179101642869,0.11553669997406474,0.05837538615375183
