row_id,kangxi_radical,kangxi_radical_number,name_en,semantic_text
121,网,122,NET,character: 网. meaning: net.
122,羊,123,SHEEP,character: 羊. meaning: sheep.
123,羽,124,FEATHER,character: 羽. meaning: feather.
124,老,125,OLD,character: 老. meaning: old.
125,而,126,AND,character: 而. meaning: and.
126,耒,127,PLOW,character: 耒. meaning: plow.
127,耳,128,EAR,character: 耳. meaning: ear.
128,聿,129,BRUSH,character: 聿. meaning: brush.
129,肉,130,MEAT,character: 肉. meaning: meat.
130,臣,131,MINISTER,character: 臣. meaning: minister.
131,自,132,SELF,character: 自. meaning: self.
132,至,133,ARRIVE,character: 至. meaning: arrive.
133,臼,134,MORTAR,character: 臼. meaning: mortar.
134,舌,135,TONGUE,character: 舌. meaning: tongue.
135,舛,136,OPPOSE,character: 舛. meaning: oppose.
136,舟,137,BOAT,character: 舟. meaning: boat.
137,艮,138,STOPPING,character: 艮. meaning: stopping.
138,色,139,COLOR,character: 色. meaning: color.
139,艸,140,GRASS,character: 艸. meaning: grass.
140,虍,141,TIGER,character: 虍. meaning: tiger.
141,虫,142,INSECT,character: 虫. meaning: insect.
142,血,143,BLOOD,character: 血. meaning: blood.
143,行,144,WALK ENCLOSURE,character: 行. meaning: walk enclosure.
144,衣,145,CLOTHES,character: 衣. meaning: clothes.
145,襾,146,WEST,character: 襾. meaning: west.
146,見,147,SEE,character: 見. meaning: see.
147,角,148,HORN,character: 角. meaning: horn.
148,言,149,SPEECH,character: 言. meaning: speech.
149,谷,150,VALLEY,character: 谷. meaning: valley.
150,豆,151,BEAN,character: 豆. meaning: bean.
151,豕,152,PIG,character: 豕. meaning: pig.
152,豸,153,BADGER,character: 豸. meaning: badger.
153,貝,154,SHELL,character: 貝. meaning: shell.
154,赤,155,RED,character: 赤. meaning: red.
155,走,156,RUN,character: 走. meaning: run.
156,足,157,FOOT,character: 足. meaning: foot.
157,身,158,BODY,character: 身. meaning: body.
158,車,159,CART,character: 車. meaning: cart.
159,辛,160,BITTER,character: 辛. meaning: bitter.
160,辰,161,MORNING,character: 辰. meaning: morning.
161,辵,162,WALK,character: 辵. meaning: walk.
162,邑,163,CITY,character: 邑. meaning: city.
163,酉,164,WINE,character: 酉. meaning: wine.
164,釆,165,DISTINGUISH,character: 釆. meaning: distinguish.
165,里,166,VILLAGE,character: 里. meaning: village.
166,金,167,GOLD,character: 金. meaning: gold.
167,長,168,LONG,character: 長. meaning: long.
168,門,169,GATE,character: 門. meaning: gate.
169,阜,170,MOUND,character: 阜. meaning: mound.
170,隶,171,SLAVE,character: 隶. meaning: slave.
171,隹,172,SHORT TAILED BIRD,character: 隹. meaning: short tailed bird.
172,雨,173,RAIN,character: 雨. meaning: rain.
173,靑,174,BLUE,character: 靑. meaning: blue.
174,非,175,WRONG,character: 非. meaning: wrong.
175,面,176,FACE,character: 面. meaning: face.
176,革,177,LEATHER,character: 革. meaning: leather.
177,韋,178,TANNED LEATHER,character: 韋. meaning: tanned leather.
178,韭,179,LEEK,character: 韭. meaning: leek.
179,音,180,SOUND,character: 音. meaning: sound.
180,頁,181,LEAF,character: 頁. meaning: leaf.
181,風,182,WIND,character: 風. meaning: wind.
182,飛,183,FLY,character: 飛. meaning: fly.
183,食,184,EAT,character: 食. meaning: eat.
184,首,185,HEAD,character: 首. meaning: head.
185,香,186,FRAGRANT,character: 香. meaning: fragrant.
186,馬,187,HORSE,character: 馬. meaning: horse.
187,骨,188,BONE,character: 骨. meaning: bone.
188,高,189,TALL,character: 高. meaning: tall.
189,髟,190,HAIR,character: 髟. meaning: hair.
190,鬥,191,FIGHT,character: 鬥. meaning: fight.
191,鬯,192,SACRIFICIAL WINE,character: 鬯. meaning: sacrificial wine.
192,鬲,193,CAULDRON,character: 鬲. meaning: cauldron.
193,鬼,194,GHOST,character: 鬼. meaning: ghost.
194,魚,195,FISH,character: 魚. meaning: fish.
195,鳥,196,BIRD,character: 鳥. meaning: bird.
196,鹵,197,SALT,character: 鹵. meaning: salt.
197,鹿,198,DEER,character: 鹿. meaning: deer.
198,麥,199,WHEAT,character: 麥. meaning: wheat.
199,麻,200,HEMP,character: 麻. meaning: hemp.
200,黃,201,YELLOW,character: 黃. meaning: yellow.
201,黍,202,MILLET,character: 黍. meaning: millet.
202,黑,203,BLACK,character: 黑. meaning: black.
203,黹,204,EMBROIDERY,character: 黹. meaning: embroidery.
204,黽,205,FROG,character: 黽. meaning: frog.
205,鼎,206,TRIPOD,character: 鼎. meaning: tripod.
206,鼓,207,DRUM,character: 鼓. meaning: drum.
207,鼠,208,RAT,character: 鼠. meaning: rat.
208,鼻,209,NOSE,character: 鼻. meaning: nose.
209,齊,210,EVEN,character: 齊. meaning: even.
210,齒,211,TOOTH,character: 齒. meaning: tooth.
211,龍,212,DRAGON,character: 龍. meaning: dragon.
212,龜,213,TURTLE,character: 龜. meaning: turtle.
213,龠,214,FLUTE,character: 龠. meaning: flute.
