row_id,kangxi_radical,kangxi_radical_number,cluster_kmeans,cluster_agglomerative,k,space
189,髟,190,0,0,3,semantic
190,鬥,191,0,0,3,semantic
191,鬯,192,2,0,3,semantic
192,鬲,193,1,0,3,semantic
193,鬼,194,0,0,3,semantic
194,魚,195,2,0,3,semantic
195,鳥,196,2,0,3,semantic
196,鹵,197,2,0,3,semantic
197,鹿,198,2,2,3,semantic
198,麥,199,2,0,3,semantic
199,麻,200,2,0,3,semantic
200,黃,201,1,0,3,semantic
201,黍,202,2,0,3,semantic
202,黑,203,0,0,3,semantic
203,黹,204,0,0,3,semantic
204,黽,205,0,0,3,semantic
205,鼎,206,0,0,3,semantic
206,鼓,207,2,0,3,semantic
207,鼠,208,2,0,3,semantic
208,鼻,209,1,0,3,semantic
209,齊,210,0,0,3,semantic
210,齒,211,1,0,3,semantic
211,龍,212,0,0,3,semantic
212,龜,213,0,0,3,semantic
213,龠,214,0,0,3,semantic
