row_id,kangxi_radical,kangxi_radical_number,cluster_kmeans,cluster_agglomerative,k,space
201,黍,202,0,0,3,structural
202,黑,203,0,0,3,structural
203,黹,204,0,0,3,structural
204,黽,205,0,0,3,structural
205,鼎,206,0,0,3,structural
206,鼓,207,0,0,3,structural
207,鼠,208,0,0,3,structural
208,鼻,209,0,0,3,structural
209,齊,210,0,0,3,structural
210,齒,211,0,0,3,structural
211,龍,212,0,0,3,structural
212,龜,213,0,0,3,structural
213,龠,214,0,0,3,structural
