radical_number,index_codepoint,real_codepoint,symbol,name_en
143,U+2F8E,U+8840,血,BLOOD
144,U+2F8F,U+884C,行,WALK ENCLOSURE
145,U+2F90,U+8863,衣,CLOTHES
146,U+2F91,U+897E,襾,WEST
147,U+2F92,U+898B,見,SEE
148,U+2F93,U+89D2,角,HORN
149,U+2F94,U+8A00,言,SPEECH
149,U+2F94,U+8BA0,讠,SPEECH (SIMPLIFIED)
150,U+2F95,U+8C37,谷,VALLEY
151,U+2F96,U+8C46,豆,BEAN
152,U+2F97,U+8C55,豕,PIG
153,U+2F98,U+8C78,豸,BADGER
154,U+2F99,U+8C9D,貝,SHELL
154,U+2F99,U+8D1D,贝,SHELL (SIMPLIFIED)
155,U+2F9A,U+8D64,赤,RED
156,U+2F9B,U+8D70,走,RUN
157,U+2F9C,U+8DB3,足,FOOT
158,U+2F9D,U+8EAB,身,BODY
159,U+2F9E,U+8ECA,車,CART
159,U+2F9E,U+8F66,车,CART (SIMPLIFIED)
160,U+2F9F,U+8F9B,辛,BITTER
161,U+2FA0,U+8FB0,辰,MORNING
162,U+2FA1,U+8FB5,辵,WALK
162,U+2FA1,U+8FB6,辶,WALK (SIMPLIFIED)
163,U+2FA2,U+9091,邑,CITY
164,U+2FA3,U+9149,酉,WINE
165,U+2FA4,U+91C6,釆,DISTINGUISH
166,U+2FA5,U+91CC,里,VILLAGE
167,U+2FA6,U+91D1,金,GOLD
168,U+2FA7,U+9577,長,LONG
168,U+2FA7,U+957F,长,LONG (SIMPLIFIED)
169,U+2FA8,U+9580,門,GATE
169,U+2FA8,U+95E8,门,GATE (SIMPLIFIED)
170,U+2FA9,U+961C,阜,MOUND
171,U+2FAA,U+96B6,隶,SLAVE
172,U+2FAB,U+96B9,隹,SHORT TAILED BIRD
173,U+2FAC,U+96E8,雨,RAIN
174,U+2FAD,U+9751,靑,BLUE
175,U+2FAE,U+975E,非,WRONG
176,U+2FAF,U+9762,面,FACE
177,U+2FB0,U+9769,革,LEATHER
178,U+2FB1,U+97CB,韋,TANNED LEATHER
179,U+2FB2,U+97ED,韭,LEEK
180,U+2FB3,U+97F3,音,SOUND
181,U+2FB4,U+9801,頁,LEAF
181,U+2FB4,U+9875,页,LEAF (SIMPLIFIED)
182,U+2FB5,U+98A8,風,WIND
182,U+2FB5,U+98CE,风,WIND (SIMPLIFIED)
183,U+2FB6,U+98DB,飛,FLY
183,U+2FB6,U+98DE,飞,FLY (SIMPLIFIED)
184,U+2FB7,U+98DF,食,EAT
184,U+2FB7,U+9963,饣,EAT (SIMPLIFIED)
185,U+2FB8,U+9996,首,HEAD
186,U+2FB9,U+9999,香,FRAGRANT
187,U+2FBA,U+99AC,馬,HORSE
187,U+2FBA,U+9A6C,马,HORSE (SIMPLIFIED)
188,U+2FBB,U+9AA8,骨,BONE
189,U+2FBC,U+9AD8,高,TALL
190,U+2FBD,U+9ADF,髟,HAIR
191,U+2FBE,U+9B25,鬥,FIGHT
192,U+2FBF,U+9B2F,鬯,SACRIFICIAL WINE
193,U+2FC0,U+9B32,鬲,CAULDRON
194,U+2FC1,U+9B3C,鬼,GHOST
195,U+2FC2,U+9B5A,魚,FISH
195,U+2FC2,U+9C7C,鱼,FISH (SIMPLIFIED)
196,U+2FC3,U+9CE5,鳥,BIRD
196,U+2FC3,U+9E1F,鸟,BIRD (SIMPLIFIED)
197,U+2FC4,U+9E75,鹵,SALT
197,U+2FC4,U+5364,卤,SALT (SIMPLIFIED)
198,U+2FC5,U+9E7F,鹿,DEER
199,U+2FC6,U+9EA5,麥,WHEAT
199,U+2FC6,U+9EA6,麦,WHEAT (SIMPLIFIED)
200,U+2FC7,U+9EBB,麻,HEMP
201,U+2FC8,U+9EC3,黃,YELLOW
201,U+2FC8,U+9EC4,黄,YELLOW (SIMPLIFIED)
202,U+2FC9,U+9ECD,黍,MILLET
203,U+2FCA,U+9ED1,黑,BLACK
204,U+2FCB,U+9EF9,黹,EMBROIDERY
205,U+2FCC,U+9EFD,黽,FROG
205,U+2FCC,U+9EFE,黾,FROG (SIMPLIFIED)
206,U+2FCD,U+9F0E,鼎,TRIPOD
207,U+2FCE,U+9F13,鼓,DRUM
208,U+2FCF,U+9F20,鼠,RAT
209,U+2FD0,U+9F3B,鼻,NOSE
210,U+2FD1,U+9F4A,齊,EVEN
210,U+2FD1,U+9F50,齐,EVEN (SIMPLIFIED)
211,U+2FD2,U+9F52,齒,TOOTH
211,U+2FD2,U+9F7F,齿,TOOTH (SIMPLIFIED)
212,U+2FD3,U+9F8D,龍,DRAGON
212,U+2FD3,U+9F99,龙,DRAGON (SIMPLIFIED)
213,U+2FD4,U+9F9C,龜,TURTLE
213,U+2FD4,U+9F9F,龟,TURTLE (SIMPLIFIED)
214,U+2FD5,U+9FA0,龠,FLUTE
